team_id,opp_team_id,game_id,game_dt,result,team_goals,opp_goals,points_earned,mins
CP,EVE,5,2019-08-10T09:00:00Z,D,0,0,1,60
CP,SHU,18,2019-08-18T08:00:00Z,L,0,1,0,60
CP,MU,24,2019-08-24T09:00:00Z,W,1,0,3,60
CP,AVL,33,2019-08-31T09:00:00Z,D,0,0,1,60
CP,TOT,45,2019-09-14T09:00:00Z,L,0,4,0,60
CP,WOL,57,2019-09-22T08:00:00Z,W,1,0,3,60
CP,NOR,65,2019-09-28T09:00:00Z,W,1,0,3,60
CP,WHU,76,2019-10-05T11:30:00Z,L,0,1,0,60
CP,MC,88,2019-10-19T11:30:00Z,L,0,2,0,60
CP,ARS,98,2019-10-27T11:30:00Z,D,2,2,1,60
CP,LC,109,2019-11-03T08:00:00Z,L,0,1,0,60
CP,CHE,112,2019-11-09T06:30:00Z,L,0,1,0,60
CP,LIV,125,2019-11-23T09:00:00Z,L,0,1,0,60
CP,BUR,132,2019-11-30T09:00:00Z,W,1,0,3,60
CP,BOU,141,2019-12-03T13:30:00Z,D,0,0,1,60
CP,WAT,154,2019-12-07T09:00:00Z,D,0,0,1,60
CP,BHA,170,2019-12-16T13:45:00Z,L,0,1,0,60
CP,NEW,175,2019-12-21T09:00:00Z,D,0,0,1,60
CP,WHU,184,2019-12-26T09:00:00Z,L,0,1,0,60
CP,SOU,192,2019-12-28T09:00:00Z,W,1,0,3,60
CP,NOR,206,2020-01-01T11:30:00Z,L,0,1,0,60
CP,ARS,211,2020-01-11T06:30:00Z,D,1,1,1,60
CP,MC,223,2020-01-18T09:00:00Z,W,1,0,3,60
CP,SOU,234,2020-01-21T13:30:00Z,L,0,2,0,60
CP,SHU,243,2020-02-01T09:00:00Z,L,0,1,0,60
CP,EVE,251,2020-02-08T06:30:00Z,L,1,2,0,60
CP,NEW,263,2020-02-22T09:00:00Z,W,1,0,3,60
CP,BHA,272,2020-02-29T06:30:00Z,D,0,0,1,60
CP,WAT,281,2020-03-07T09:00:00Z,W,1,0,3,60
EVE,CP,5,2019-08-10T09:00:00Z,D,0,0,1,60
EVE,WAT,14,2019-08-17T09:00:00Z,W,1,0,3,60
EVE,AVL,21,2019-08-23T14:00:00Z,L,0,1,0,60
EVE,WOL,39,2019-09-01T08:00:00Z,W,2,1,3,60
EVE,BOU,48,2019-09-15T08:00:00Z,D,1,1,1,60
EVE,SHU,54,2019-09-21T09:00:00Z,L,0,1,0,60
EVE,MC,68,2019-09-28T11:30:00Z,D,1,1,1,60
EVE,BUR,72,2019-10-05T09:00:00Z,D,0,0,1,60
EVE,WHU,81,2019-10-19T06:30:00Z,W,1,0,3,60
EVE,BHA,93,2019-10-26T09:00:00Z,D,1,1,1,60
EVE,TOT,110,2019-11-03T10:30:00Z,D,0,0,1,60
EVE,SOU,115,2019-11-09T09:00:00Z,D,1,1,1,60
EVE,NOR,126,2019-11-23T09:00:00Z,L,0,1,0,60
EVE,LC,139,2019-12-01T10:30:00Z,W,1,0,3,60
EVE,LIV,148,2019-12-04T14:15:00Z,L,2,4,0,60
EVE,CHE,151,2019-12-07T06:30:00Z,W,2,1,3,60
EVE,MU,167,2019-12-15T08:00:00Z,W,1,0,3,60
EVE,ARS,171,2019-12-21T06:30:00Z,D,0,0,1,60
EVE,BUR,185,2019-12-26T09:00:00Z,D,0,0,1,60
EVE,NEW,191,2019-12-28T09:00:00Z,D,1,1,1,60
EVE,MC,205,2020-01-01T11:30:00Z,L,0,2,0,60
EVE,BHA,213,2020-01-11T09:00:00Z,W,1,0,3,60
EVE,WHU,226,2020-01-18T09:00:00Z,D,1,1,1,60
EVE,NEW,232,2020-01-21T13:30:00Z,W,2,0,3,60
EVE,WAT,246,2020-02-01T09:00:00Z,D,2,2,1,60
EVE,CP,251,2020-02-08T06:30:00Z,W,2,1,3,60
EVE,ARS,269,2020-02-23T10:30:00Z,L,2,3,0,60
EVE,MU,277,2020-03-01T08:00:00Z,D,1,1,1,60
EVE,CHE,286,2020-03-08T09:00:00Z,L,0,4,0,60
LC,WOL,8,2019-08-11T08:00:00Z,D,0,0,1,60
LC,CHE,19,2019-08-18T10:30:00Z,L,0,1,0,60
LC,SHU,25,2019-08-24T09:00:00Z,W,1,0,3,60
LC,BOU,34,2019-08-31T09:00:00Z,W,2,1,3,60
LC,MU,43,2019-09-14T09:00:00Z,L,0,1,0,60
LC,TOT,52,2019-09-21T06:30:00Z,L,0,1,0,60
LC,NEW,69,2019-09-29T10:30:00Z,W,3,0,3,60
LC,LIV,73,2019-10-05T09:00:00Z,L,0,1,0,60
LC,BUR,85,2019-10-19T09:00:00Z,D,1,1,1,60
LC,SOU,91,2019-10-25T14:00:00Z,W,7,0,3,60
LC,CP,109,2019-11-03T08:00:00Z,W,1,0,3,60
LC,ARS,117,2019-11-09T11:30:00Z,D,0,0,1,60
LC,BHA,124,2019-11-23T09:00:00Z,D,0,0,1,60
LC,EVE,139,2019-12-01T10:30:00Z,L,0,1,0,60
LC,WAT,143,2019-12-04T13:30:00Z,W,1,0,3,60
LC,AVL,156,2019-12-08T08:00:00Z,W,3,1,3,60
LC,NOR,164,2019-12-14T09:00:00Z,D,1,1,1,60
LC,MC,177,2019-12-21T11:30:00Z,L,1,2,0,60
LC,LIV,188,2019-12-26T14:00:00Z,L,0,1,0,60
LC,WHU,195,2019-12-28T11:30:00Z,W,2,1,3,60
LC,NEW,202,2020-01-01T09:00:00Z,W,2,0,3,60
LC,SOU,214,2020-01-11T09:00:00Z,D,1,1,1,60
LC,BUR,228,2020-01-19T08:00:00Z,D,1,1,1,60
LC,WHU,236,2020-01-22T13:30:00Z,W,2,1,3,60
LC,CHE,241,2020-02-01T06:30:00Z,D,1,1,1,60
LC,WOL,254,2020-02-14T14:00:00Z,D,0,0,1,60
LC,MC,266,2020-02-22T11:30:00Z,D,0,0,1,60
LC,NOR,271,2020-02-28T14:00:00Z,D,0,0,1,60
LC,AVL,288,2020-03-09T15:00:00Z,W,1,0,3,60
LIV,NOR,1,2019-08-09T14:00:00Z,W,4,0,3,60
LIV,SOU,16,2019-08-17T09:00:00Z,W,1,0,3,60
LIV,ARS,27,2019-08-24T11:30:00Z,W,3,0,3,60
LIV,BUR,38,2019-08-31T11:30:00Z,W,2,0,3,60
